STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",01-01-1960,,,,,,712,0,,0,0,,37,24,,,,,338,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",02-01-1960,,,,,,1618,0,,0,0,,47,23,,,,,225,,,,,,25.3,,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",03-01-1960,,,,,,1000,0.92,,0,0,,57,37,,,,,225,,,,,,62.2,,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",04-01-1960,,,,,,936,0,,0,0,,41,33,,,,,293,,,,,,30,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",05-01-1960,,,,,,1412,0,,0,0,,37,27,,,,,270,,,,,,38,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",06-01-1960,,,,,,1500,0,,0,0,,36,22,,,,,248,,,,,,35.6,,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",07-01-1960,,,,,,48,0,,0,0,,35,28,,,,,293,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",08-01-1960,,,,,,2248,0,,0,0,,46,30,,,,,293,,,,,,35.6,,,,,,,,,1,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",09-01-1960,,,,,,24,0,,0,0,,35,10,,,,,315,,,,,,43.6,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10-01-1960,,,,,,2248,0.14,,2.2,0,,16,9,,,,,360,,,,,,19.5,,1,,,,,,,,,,,,,,,,1,,,
